#fy4lon fy4lat fy4clm fy4snc fy3lon fy3lat dist fy3val outtype 
100.416 49.128 0 25 100.491 49.1294 0.0753683 0 25 
103.333 49.1067 0 25 103.452 49.1509 0.1274 -500 25 
106.242 49.1074 0 25 106.1 49.1254 0.143537 -500 25 
109.159 49.13 0 50 109.146 49.1576 0.0306966 3 50 
112.099 49.175 0 25 112.188 49.069 0.138565 0 25 
115.077 49.2432 0 25 115.056 49.1792 0.0674848 0 25 
118.111 49.3356 0 25 118.082 49.3935 0.064606 0 25 
121.22 49.4542 0 25 121.13 49.4882 0.0956932 0 25 
124.428 49.6013 0 50 124.366 49.6604 0.0855858 0 50 
127.765 49.7804 0 25 127.818 49.8864 0.118189 -500 25 
131.27 49.996 0 50 131.294 49.9588 0.0441755 -500 50 
134.994 50.255 0 25 135 50.3843 0.129457 0 25 
139.012 50.5673 0 50 138.985 50.4533 0.117111 0 50 
143.443 50.9486 0 25 143.566 50.9419 0.12349 0 25 
148.487 51.4263 0 39 148.514 51.2891 0.139743 1014 201 
154.563 52.0561 0 39 154.588 51.9616 0.0978428 -999 39 
162.882 52.999 0 39 162.91 53.1439 0.147715 1014 201 
37.4645 50.4873 0 50 37.498 50.3678 0.124077 0 50 
48.9423 49.1802 0 50 48.8593 49.1025 0.113667 0 50 
55.7825 48.4652 0 50 55.8262 48.5973 0.139129 -500 50 
61.1641 47.9468 0 50 61.1276 47.976 0.0468079 0 50 
65.7638 47.5393 0 25 65.8642 47.6485 0.148357 0 25 
69.8649 47.2066 0 25 69.8205 47.0848 0.129629 0 25 
73.6181 46.9294 0 25 73.6969 47.0745 0.165111 0 25 
77.1153 46.6959 0 25 76.9598 46.7511 0.165027 0 25 
80.4175 46.4985 0 25 80.4132 46.5614 0.063096 -500 25 
83.568 46.3318 0 25 83.4931 46.4208 0.116367 0 25 
86.5992 46.192 0 25 86.5454 46.1483 0.0693408 0 25 
89.5363 46.0764 0 50 89.5512 45.9885 0.0891561 0 50 
92.3996 45.9827 0 25 92.5415 45.9442 0.147041 0 25 
95.2061 45.9096 0 25 95.2214 45.7963 0.114307 0 25 
97.9706 45.8557 0 25 97.9195 45.7874 0.0852997 0 25 
100.706 45.8204 0 25 100.666 45.9138 0.101817 0 25 
103.425 45.8032 0 25 103.351 45.6966 0.12945 -500 25 
106.138 45.8037 0 25 106.171 45.8443 0.0520787 -500 25 
108.857 45.822 0 25 109.001 45.8784 0.154495 0 25 
111.594 45.8584 0 50 111.552 45.8885 0.051985 0 50 
114.361 45.9134 0 50 114.493 45.9277 0.133241 0 50 
117.17 45.9878 0 25 117.167 45.9556 0.0324202 0 25 
120.038 46.0827 0 25 119.987 46.0924 0.051959 0 25 
122.98 46.1997 0 25 122.98 46.3201 0.12035 0 25 
126.017 46.341 0 25 125.994 46.4208 0.0831543 0 25 
129.176 46.5094 0 25 129.204 46.5819 0.0777505 -500 25 
132.489 46.7088 0 25 132.427 46.5985 0.126453 -500 25 
135.999 46.9447 0 50 135.865 46.9815 0.139317 0 50 
139.77 47.2248 0 39 139.782 47.1714 0.0546288 1014 201 
143.896 47.5614 0 39 143.779 47.4869 0.138497 1014 201 
148.533 47.9743 0 39 148.607 47.9629 0.0755698 1014 201 
153.976 48.5013 0 39 153.931 48.5481 0.0652664 -999 39 
160.948 49.2336 0 39 160.854 49.1576 0.121049 1014 201 
173.206 50.638 0 39 173.144 50.7456 0.124356 1014 201 
39.8685 46.9075 0 50 39.8251 46.8013 0.11474 0 50 
49.2351 45.9118 0 50 49.2208 45.8329 0.0801543 1014 201 
55.4942 45.2964 0 50 55.4536 45.1736 0.12933 -999 50 
60.5431 44.8364 0 39 60.4909 44.9169 0.0959727 1014 201 
64.9062 44.4688 0 25 65.053 44.4156 0.156193 0 25 
68.8192 44.1649 0 25 68.9211 44.2126 0.112483 0 25 
72.4123 43.9091 0 25 72.3809 43.9503 0.0518174 0 25 
75.7665 43.6914 0 25 75.7214 43.7488 0.0730373 0 25 
78.9364 43.5053 0 25 78.9693 43.6222 0.121452 -500 25 
81.9612 43.3462 0 25 81.9099 43.3043 0.0661618 -500 25 
84.8702 43.2106 0 200 84.7801 43.1014 0.141641 -500 200 
87.6863 43.0963 0 25 87.6082 43.0194 0.109596 0 25 
90.4281 43.0011 0 25 90.4223 43.0616 0.0607228 0 25 
93.111 42.9238 0 25 93.2344 42.9833 0.136981 0 25 
95.7481 42.8632 0 25 95.7524 42.8102 0.0531721 0 25 
98.3512 42.8184 0 25 98.2885 42.7837 0.0716345 0 25 
100.931 42.7891 0 25 100.87 42.9003 0.126784 0 25 
103.496 42.7747 0 25 103.392 42.6758 0.143305 0 25 
106.058 42.7752 0 25 106.042 42.827 0.0541819 -500 25 
108.624 42.7904 0 25 108.701 42.8702 0.111109 -500 25 
111.204 42.8207 0 25 111.098 42.8942 0.129274 0 25 
113.809 42.8663 0 25 113.863 42.9568 0.105164 0 25 
116.449 42.9279 0 25 116.376 43.0122 0.110921 0 25 
119.135 43.0063 0 25 119.273 43.0664 0.151258 0 25 
121.88 43.1026 0 25 121.931 43.1231 0.054305 0 25 
124.702 43.2182 0 25 124.749 43.2741 0.0732112 0 25 
127.617 43.355 0 25 127.577 43.3043 0.064299 0 25 
130.649 43.5156 0 25 130.586 43.4 0.1319 -500 25 
133.829 43.7035 0 25 133.991 43.7123 0.162545 -500 25 
137.196 43.9233 0 39 137.234 44.0286 0.111959 1014 201 
140.806 44.1817 0 39 140.913 44.1524 0.11147 1014 201 
144.741 44.4888 0 39 144.664 44.4156 0.106294 1014 201 
149.137 44.861 0 39 149.186 44.8486 0.0507445 1014 201 
154.239 45.328 0 39 154.162 45.4113 0.113726 -999 39 
160.603 45.9565 0 39 160.618 46.0278 0.0728252 1014 201 
170.356 46.9985 0 39 170.311 47.0383 0.0599653 1014 201 
40.0055 43.8247 0 39 39.9338 43.8745 0.0873457 0 39 
48.6928 42.9527 0 39 48.7745 42.9183 0.0886268 1014 201 
54.6831 42.3942 0 39 54.6558 42.3079 0.0904489 -500 39 
59.5563 41.9713 0 25 59.5554 41.9054 0.0658936 -500 25 
63.7833 41.6305 0 25 63.7413 41.6915 0.0740494 0 25 
67.5812 41.3469 0 25 67.5162 41.3397 0.0653669 0 25 
71.0713 41.1065 0 25 71.1375 40.9991 0.126063 0 25 
74.3299 40.9004 0 25 74.2954 40.8627 0.0510804 23 201 
77.4085 40.7228 0 25 77.3689 40.8091 0.0949804 0 25 
80.3444 40.5695 1 25 80.4274 40.6045 0.0900893 -500 25 
83.1653 40.4375 0 25 83.1572 40.4677 0.0312714 -500 25 
85.8929 40.3244 0 25 85.8669 40.2111 0.1163 -999 25 
88.5449 40.2285 0 25 88.5312 40.3323 0.104704 0 25 
91.1355 40.1485 0 39 91.1963 40.09 0.0843199 0 39 
93.6772 40.0832 0 25 93.5846 39.9967 0.126663 0 25 
96.1806 40.0319 0 25 96.2522 40.0313 0.0716279 0 25 
98.6553 39.9941 0 25 98.6554 39.9875 0.00651948 0 25 
101.11 39.9692 0 25 101.101 40.0934 0.124599 0 25 
103.553 39.957 0 25 103.491 39.86 0.115569 0 25 
105.993 39.9573 0 25 106 40.0117 0.0548225 -500 25 
108.437 39.9703 0 25 108.519 40.06 0.121764 -500 25 
110.892 39.996 0 25 110.789 40.0934 0.141882 -999 25 
113.369 40.0346 0 25 113.303 39.945 0.111124 0 25 
115.874 40.0867 0 25 116.03 40.1407 0.164562 0 25 
118.418 40.1528 0 25 118.409 40.1153 0.0387184 0 25 
121.012 40.2338 0 39 120.918 40.2111 0.0970447 1014 201 
123.668 40.3307 0 25 123.579 40.411 0.120332 0 25 
126.401 40.4449 0 25 126.469 40.3485 0.117956 0 25 
129.228 40.5781 0 25 129.308 40.5002 0.111657 1014 201 
132.172 40.7327 0 39 132.138 40.8708 0.142296 -999 39 
135.26 40.9119 0 39 135.191 40.9361 0.0732608 -999 39 
138.531 41.1198 0 39 138.648 41.1803 0.131911 1014 201 
142.037 41.3626 0 39 141.958 41.4278 0.102766 1014 201 
145.857 41.6492 0 39 145.893 41.576 0.0816152 1014 201 
150.115 41.994 0 39 150.17 41.9398 0.0771087 1014 201 
155.038 42.423 0 39 155.118 42.5514 0.151226 -999 39 
161.123 42.9929 0 39 161.209 43.1026 0.138989 -999 39 
170.123 43.9005 0 39 170.091 43.8001 0.105483 1014 201 
38.9198 41.0436 0 39 38.8504 41.1604 0.13592 0 39 
47.5616 40.2194 0 50 47.4487 40.1868 0.117537 0 50 
53.4826 39.6932 0 39 53.4201 39.6536 0.073962 1014 201 
58.2893 39.2944 0 25 58.4525 39.27 0.165033 -500 25 
62.4529 38.9722 0 25 62.5625 38.9123 0.124885 0 25 
66.1895 38.7032 0 25 66.1558 38.633 0.0779081 0 25 
69.6195 38.4742 0 25 69.6098 38.3727 0.101935 0 25 
72.8182 38.2771 1 25 72.8689 38.3907 0.124446 8 25 
75.8368 38.1062 0 25 75.8704 38.1684 0.0706732 0 25 
78.7118 37.9577 0 25 78.7905 38.0395 0.113571 0 25 
81.4705 37.8286 0 25 81.4378 37.7289 0.10492 -500 25 
84.1342 37.7169 0 25 84.2513 37.8238 0.15856 -999 25 
86.72 37.6208 0 25 86.8272 37.5185 0.14818 -999 25 
89.2418 37.539 0 25 89.3648 37.6019 0.138155 0 25 
91.7115 37.4706 0 25 91.6511 37.5819 0.126691 0 25 
94.1394 37.4147 0 25 94.1849 37.4541 0.0602369 0 25 
96.5343 37.3707 0 25 96.4802 37.4941 0.134727 0 25 
98.9045 37.3381 1 25 99.0253 37.4041 0.13765 0 25 
101.257 37.3167 0 25 101.31 37.2522 0.0831873 0 25 
103.6 37.3062 0 25 103.638 37.2544 0.0641538 0 25 
105.94 37.3065 1 25 106.032 37.4041 0.134288 -500 25 
108.283 37.3177 3 25 -999 -999 -999 -999 25 
110.637 37.3398 0 25 110.512 37.2577 0.149923 -999 25 
113.009 37.373 0 25 112.999 37.353 0.0220142 -999 25 
115.405 37.4177 0 25 115.491 37.3408 0.114742 0 25 
117.835 37.4743 0 50 117.871 37.5608 0.0934601 0 50 
120.308 37.5435 0 39 120.266 37.6821 0.1449 0 39 
122.833 37.6261 0 39 122.88 37.5686 0.0742777 1014 201 
125.423 37.7231 0 50 125.419 37.6877 0.0356578 1014 201 
128.092 37.8359 0 50 128.121 37.893 0.0641645 0 50 
130.857 37.966 0 39 130.837 37.9724 0.0211239 -999 39 
133.74 38.1158 0 39 133.731 38.1067 0.0127293 -999 39 
136.768 38.2881 0 39 136.818 38.2694 0.0535 -999 39 
139.979 38.487 0 50 139.946 38.6217 0.13874 0 50 
143.425 38.7181 0 39 143.467 38.7561 0.0567517 1014 201 
147.183 38.9899 0 39 147.069 39.0268 0.1201 1014 201 
151.378 39.3158 0 39 151.379 39.441 0.125168 1014 201 
156.234 39.7204 0 39 156.212 39.7464 0.034245 -999 39 
162.25 40.2572 0 39 162.24 40.2919 0.0361104 -999 39 
171.212 41.1159 0 39 171.14 41.212 0.120007 1014 201 
36.7617 38.4965 0 25 36.7406 38.607 0.11255 -999 25 
45.9292 37.6622 0 39 45.9008 37.759 0.100875 0 39 
51.9499 37.151 0 39 51.9487 36.99 0.160981 0 39 
56.7813 36.767 0 25 56.7611 36.7354 0.0374859 -500 25 
60.9419 36.4575 0 25 61.0421 36.3994 0.115821 -999 25 
64.6617 36.1992 1 25 64.7129 36.3227 0.133714 0 25 
68.0669 35.9789 0 25 68.1299 35.9143 0.0902488 0 25 
71.2353 35.7888 1 25 71.3315 35.7794 0.0967133 0 25 
74.2193 35.6234 0 25 74.2064 35.637 0.0187826 0 25 
77.0562 35.4789 0 200 77.0054 35.5936 0.125502 0 200 
79.7736 35.3525 1 25 79.7936 35.4094 0.0603245 -500 25 
82.3931 35.2422 0 200 82.2843 35.3034 0.124835 -999 200 
84.9316 35.1463 0 25 85.0039 35.108 0.0818112 -999 25 
87.4031 35.0635 0 200 87.4471 35.0217 0.0607201 -999 200 
89.8191 34.993 0 200 89.8783 35.081 0.106108 8 200 
92.1898 34.9338 0 200 92.31 35.0325 0.155599 7 200 
94.5238 34.8853 0 200 94.4917 34.8968 0.0340782 0 200 
96.8289 34.8471 0 200 96.9295 34.8968 0.112204 5 200 
99.1122 34.8189 0 200 99.1238 34.8291 0.0154489 12 201 
101.38 34.8003 0 25 101.358 34.9227 0.124489 0 25 
103.64 34.7912 1 25 103.595 34.9248 0.140935 0 25 
105.896 34.7914 0 25 105.829 34.8355 0.0802045 -500 25 
108.155 34.8011 0 25 108.128 34.8968 0.0995432 -999 25 
110.424 34.8203 0 25 110.428 34.8614 0.0412456 -999 25 
112.709 34.8491 0 50 112.722 34.7292 0.120705 -999 50 
115.015 34.8879 0 50 114.885 34.8388 0.139185 0 50 
117.351 34.937 0 50 117.38 34.9722 0.0451584 0 50 
119.724 34.9969 0 39 119.669 35.1177 0.132767 1014 201 
122.144 35.0681 0 39 122.173 35.0325 0.0461558 1014 201 
124.619 35.1516 0 39 124.603 35.1867 0.0385658 1014 201 
127.162 35.2484 0 25 127.041 35.2332 0.121932 0 25 
129.786 35.3596 0 39 129.633 35.3672 0.153219 1014 201 
132.51 35.487 0 39 132.578 35.3953 0.113901 -500 39 
135.355 35.6327 0 39 135.521 35.6251 0.165731 -999 39 
138.349 35.7994 0 25 138.315 35.8871 0.0939746 -999 25 
141.53 35.9912 0 39 141.475 35.9688 0.0593561 1014 201 
144.952 36.2135 0 39 145.038 36.163 0.100425 1014 201 
148.694 36.4745 0 39 148.694 36.4772 0.00282813 1014 201 
152.887 36.7876 0 39 152.819 36.7849 0.0676785 1014 201 
157.77 37.1773 0 39 157.894 37.178 0.124346 -999 39 
163.894 37.6994 0 39 163.897 37.6454 0.0541403 -999 39 
173.469 38.5748 0 39 173.403 38.4898 0.107556 1014 201 
33.068 36.1849 0 39 33.1745 36.175 0.107027 -999 39 
43.7887 35.2508 0 25 43.7921 35.2558 0.0060952 0 25 
50.0966 34.7383 0 25 50.1479 34.8474 0.120504 0 25 
55.0436 34.3614 0 25 55.0769 34.334 0.0430755 -500 25 
59.2585 34.0601 0 25 59.2005 34.129 0.0901138 -999 25 
63.0027 33.8093 0 25 62.9562 33.7227 0.0983274 -999 25 
66.4149 33.5958 0 25 66.4589 33.5245 0.0837186 0 25 
69.5791 33.4113 0 25 69.541 33.4885 0.0861572 0 25 
72.5509 33.2504 1 25 72.6107 33.274 0.0643279 0 25 
75.3695 33.1094 3 25 -999 -999 -999 -999 25 
