#lon lat val
78.9736 6.41179 NaN
83.1365 6.37912 29.8046
87.1185 6.353 NaN
90.9659 6.33268 NaN
94.7152 6.31759 NaN
98.3967 6.30738 NaN
102.037 6.30181 NaN
105.66 6.30076 NaN
109.289 6.3042 NaN
112.948 6.31221 NaN
116.662 6.32496 NaN
120.459 6.34277 NaN
124.373 6.36608 NaN
128.444 6.39556 NaN
132.726 6.43215 NaN
137.294 6.47726 29.5891
142.258 6.53307 NaN
147.796 6.60319 NaN
154.245 6.69442 NaN
162.41 6.82293 NaN
176.158 7.0652 NaN

42.8625 2.91266 NaN
52.19 2.84785 24.2505
59.1305 2.80448 NaN
64.9464 2.77187 29.0569
70.0873 2.74615 28.658
74.7759 2.72543 28.9021
79.1427 2.70861 NaN
83.273 2.69498 NaN
87.2266 2.68408 NaN
91.0485 2.67559 NaN
94.7743 2.66929 NaN
98.4336 2.66502 NaN
102.052 2.6627 NaN
105.654 2.66226 NaN
109.262 2.66369 NaN
112.899 2.66704 NaN
116.59 2.67237 NaN
120.363 2.67981 NaN
124.25 2.68954 NaN
128.291 2.70184 NaN
132.538 2.71709 NaN
137.062 2.73587 NaN
141.97 2.75906 NaN
147.431 2.78812 25.8406
153.761 2.82573 NaN
161.69 2.87813 NaN
174.314 2.9713 NaN

43.0375 -1.04919 NaN
52.2959 -1.02603 NaN
59.2076 -1.01049 NaN
65.0064 -0.998781 28.2808
70.1354 -0.989545 NaN
74.8149 -0.982101 29.6986
79.1745 -0.976053 28.1782
83.2986 -0.971154 NaN
87.2469 -0.967236 NaN
91.064 -0.964184 NaN
94.7854 -0.961918 NaN
98.4405 -0.960384 NaN
102.055 -0.959547 NaN
105.653 -0.959388 28.3546
109.257 -0.959905 NaN
112.89 -0.961108 NaN
116.577 -0.963025 NaN
120.345 -0.965699 NaN
124.227 -0.969198 NaN
128.262 -0.973619 NaN
132.502 -0.979102 NaN
137.019 -0.985852 NaN
141.916 -0.994183 NaN
147.363 -1.00462 NaN
153.671 -1.01811 NaN
161.557 -1.03687 NaN
174.002 -1.06991 NaN

42.4584 -5.0234 NaN
51.948 -4.90945 NaN
58.9549 -4.83383 NaN
64.8101 -4.77711 NaN
69.9781 -4.73247 NaN
74.6872 -4.69653 NaN
79.0706 -4.66736 NaN
83.2147 -4.64375 29.4312
87.1804 -4.62487 NaN
91.0132 -4.61018 NaN
94.7491 -4.59927 NaN
98.4178 -4.59188 NaN
102.046 -4.58785 NaN
105.657 -4.58709 NaN
109.273 -4.58957 NaN
112.92 -4.59537 27.9359
116.621 -4.60459 NaN
120.404 -4.61747 NaN
124.302 -4.63433 NaN
128.356 -4.65563 NaN
132.618 -4.68207 NaN
137.161 -4.71463 NaN
142.092 -4.75488 NaN
147.587 -4.80536 NaN
153.967 -4.87084 NaN
161.994 -4.96249 NaN
175.059 -5.12925 NaN

41.009 -9.05983 NaN
51.1092 -8.83967 21.5646
58.3519 -8.69795 NaN
64.344 -8.59278 NaN
69.6058 -8.51044 21.5224
74.3855 -8.44438 NaN
78.8254 -8.39088 24.0765
83.017 -8.34764 27.6743
87.024 -8.3131 27.7826
90.8937 -8.28623 NaN
94.6636 -8.2663 NaN
98.3645 -8.25281 NaN
102.023 -8.24546 24.3177
105.665 -8.24406 26.0233
109.312 -8.24861 25.3896
112.99 -8.25918 NaN
116.724 -8.27604 27.4577
120.543 -8.29957 NaN
124.48 -8.33039 NaN
128.578 -8.36939 26.0455
132.892 -8.41783 25.716
137.498 -8.47763 24.9353
142.511 -8.55173 NaN
148.118 -8.64507 NaN
154.676 -8.76705 NaN
163.061 -8.94071 NaN
178.156 -9.29175 NaN

38.308 -13.225 NaN
49.6795 -12.8595 NaN
57.3463 -12.6388 NaN
63.5744 -12.4782 24.0685
68.9945 -12.3536 21.5858
73.8919 -12.2542 22.6856
78.4254 -12.174 NaN
82.6949 -12.1094 18.6064
86.7695 -12.0579 NaN
90.6996 -12.0178 NaN
94.5249 -11.9881 NaN
98.2779 -11.9681 25.6028
101.987 -11.9571 26.3852
105.678 -11.955 24.6052
109.375 -11.9618 25.4922
113.104 -11.9775 NaN
116.892 -12.0026 26.4158
120.768 -12.0377 27.3333
124.769 -12.0836 NaN
128.94 -12.1419 NaN
133.339 -12.2144 NaN
138.05 -12.3042 NaN
143.199 -12.416 NaN
148.999 -12.5578 NaN
155.868 -12.7456 NaN
164.93 -13.0219 NaN

32.9397 -17.6559 NaN
47.4481 -17.0245 NaN
55.8377 -16.6999 NaN
62.439 -16.4714 NaN
68.1011 -16.2968 22.7469
73.1747 -16.1587 23.269
77.8464 -16.048 NaN
82.2302 -15.959 NaN
86.4029 -15.8883 NaN
90.4204 -15.8335 24.8616
94.3256 -15.7929 NaN
98.1536 -15.7655 NaN
101.935 -15.7505 NaN
105.696 -15.7477 20.6419
109.465 -15.7569 NaN
113.268 -15.7784 25.5574
117.132 -15.8127 25.5711
121.092 -15.8607 26.0642
125.186 -15.9237 NaN
129.463 -16.0037 NaN
133.988 -16.1037 NaN
138.855 -16.228 25.003
144.21 -16.3839 NaN
150.308 -16.584 24.975
157.686 -16.8551 NaN
168.016 -17.2793 NaN

43.9381 -21.4213 NaN
53.6389 -20.9392 NaN
60.8296 -20.6204 22.0759
66.853 -20.3828 NaN
72.1818 -20.1975 21.6516
77.0496 -20.0501 NaN
81.5932 -19.9323 NaN
85.9021 -19.8391 21.1054
90.0397 -19.767 NaN
94.0543 -19.7138 NaN
97.9846 -19.6779 NaN
101.864 -19.6583 NaN
105.722 -19.6546 NaN
109.588 -19.6667 NaN
113.49 -19.6948 22.5036
117.461 -19.7398 24.1706
121.535 -19.8028 NaN
125.757 -19.8857 NaN
130.181 -19.9914 NaN
134.883 -20.1241 NaN
139.973 -20.2903 NaN
145.632 -20.5009 NaN
152.187 -20.7762 24.3897
160.412 -21.1636 23.6644
173.669 -21.8659 NaN

37.6408 -26.2397 NaN
50.3696 -25.4449 NaN
58.5517 -24.9918 NaN
65.1271 -24.6686 19.5704
70.8274 -24.4218 NaN
75.9723 -24.2279 19.2157
80.7373 -24.0744 20.2105
85.232 -23.9535 NaN
89.5319 -23.8604 20.0959
93.6931 -23.7919 NaN
97.7599 -23.7457 NaN
101.77 -23.7206 NaN
105.756 -23.7158 NaN
109.75 -23.7313 NaN
113.786 -23.7675 NaN
117.898 -23.8253 NaN
122.127 -23.9065 NaN
126.522 -24.0138 NaN
131.149 -24.1513 NaN
136.098 -24.325 NaN
141.509 -24.5449 NaN
147.618 -24.8281 NaN
154.902 -25.2097 NaN
164.71 -25.7878 NaN

45.0658 -30.3838 NaN
55.2194 -29.6887 19.9055
62.7019 -29.2358 NaN
68.9646 -28.9026 16.0097
74.5104 -28.646 18.2226
79.586 -28.4454 NaN
84.3362 -28.2888 NaN
88.8561 -28.1689 NaN
93.214 -28.0809 NaN
97.4624 -28.0218 NaN
101.645 -27.9897 NaN
105.801 -27.9836 NaN
109.966 -28.0034 NaN
114.178 -28.0496 NaN
118.479 -28.1237 NaN
122.915 -28.2282 NaN
127.547 -28.3668 NaN
132.456 -28.5457 NaN
137.758 -28.774 NaN
143.643 -29.0677 NaN
150.46 -29.4565 NaN
159.034 -30.0105 NaN
173.126 -31.044 NaN

32.1793 -36.422 NaN
49.8878 -34.9058 NaN
59.1268 -34.2175 NaN
66.3199 -33.7479 NaN
72.4789 -33.3991 NaN
78.0082 -33.1318 NaN
83.12 -32.9258 NaN
87.9444 -32.7695 NaN
92.5703 -32.6555 NaN
97.0639 -32.5792 NaN
101.478 -32.5378 14.5125
105.861 -32.53 NaN
110.254 -32.5555 NaN
114.705 -32.6151 NaN
119.261 -32.7109 NaN
123.983 -32.8467 NaN
128.947 -33.0282 NaN
134.26 -33.2648 NaN
140.088 -33.572 NaN
146.723 -33.9778 NaN
154.792 -34.5432 NaN
166.381 -35.4688 NaN

38.2849 -41.2757 NaN
53.2475 -39.8777 NaN
62.3016 -39.1451 NaN
69.5107 -38.6408 NaN
75.7554 -38.2687 9.29234
81.4093 -37.9884 NaN
86.6748 -37.7786 NaN
91.68 -37.627 NaN
96.5149 -37.5262 10.2276
101.249 -37.4717 NaN
105.943 -37.4615 NaN
110.651 -37.495 NaN
115.431 -37.5736 NaN
120.346 -37.7006 NaN
125.477 -37.8819 NaN
130.928 -38.1271 NaN
136.863 -38.4526 11.9411
143.554 -38.8876 NaN
151.565 -39.4938 14.2403
162.588 -40.4549 NaN

38.9722 -47.1976 NaN
55.1936 -45.51 NaN
64.7179 -44.666 NaN
72.2802 -44.0979 NaN
78.8405 -43.6888 NaN
84.801 -43.3907 NaN
90.3805 -43.1788 NaN
95.7191 -43.0393 NaN
100.919 -42.9645 NaN
106.062 -42.9504 NaN
111.225 -42.9964 NaN
116.487 -43.1048 NaN
121.939 -43.2814 NaN
127.699 -43.5367 NaN
133.943 -43.8895 NaN
140.964 -44.3744 NaN
149.373 -45.0652 NaN
161.046 -46.1895 NaN

54.7615 -52.2856 NaN
65.9675 -51.1645 NaN
74.4584 -50.465 NaN
81.7166 -49.9875 NaN
88.2875 -49.6601 NaN
94.4539 -49.4492 NaN
100.396 -49.3372 NaN
106.249 -49.3163 NaN
112.134 -49.3849 NaN
118.176 -49.5478 NaN
124.53 -49.8175 NaN
131.419 -50.2187 NaN
139.233 -50.8006 NaN
148.841 -51.6803 NaN
163.749 -53.3269 NaN

42.4249 -62.43 NaN
63.9605 -59.696 NaN
75.1828 -58.5978 NaN
84.116 -57.9432 NaN
92.0139 -57.5481 NaN
99.4041 -57.3452 NaN
106.604 -57.3077 NaN
113.871 -57.4311 NaN
121.483 -57.7306 NaN
129.839 -58.2507 NaN
139.729 -59.102 NaN
153.724 -60.6694 NaN

82.317 -71.288 NaN
95.8922 -70.3632 NaN
107.839 -70.2125 NaN
120.302 -70.7289 NaN
136.756 -72.3967 NaN

